target,feature,r_squared,slope,intercept
Amount,Boxes Shipped,0.00018531797562404417,0.6841768069543342,4942.799436355801
Amount,Discount,0.000157412388465894,-4.0818205297905585,5037.581216047393
Amount,Cost,0.9176077764161263,1.3555520121987608,416.7829820492343
Amount,Profit,0.7172623169531149,2.220114566144709,1410.7160151143212
Boxes Shipped,Amount,0.0001853179756241552,0.00027086269768346414,99.48115945965573
Boxes Shipped,Discount,0.0008665422929742261,0.1905547413053116,99.63467829285261
Boxes Shipped,Cost,0.0002592317899747787,0.0004533380774105658,99.30195539147496
Boxes Shipped,Profit,3.4338711359938046e-05,0.0003056460596585587,100.34290200210374
Discount,Amount,0.00015741238846578298,-3.8564260069000995e-05,6.511609341526576
Discount,Boxes Shipped,0.0008665422929740041,0.004547471697834843,5.859772350619265
Discount,Cost,0.00020853942221432664,-6.28126729552291e-05,6.531253772989699
Discount,Profit,3.767773005747266e-05,-4.945888172579743e-05,6.398556732698726
Cost,Amount,0.9176077764161263,0.6769255389379926,-2.8404550527006904
Cost,Boxes Shipped,0.0002592317899747787,0.5718288467085844,3332.1063515363685
Cost,Discount,0.00020853942221454869,-3.320021460688259,3410.7458122624485
Cost,Profit,0.43381418910576997,1.2201145661447075,1410.716015114324
Profit,Amount,0.7172623169531149,0.32307446106200793,2.8404550526984167
Profit,Boxes Shipped,3.433871135982702e-05,0.11234796024574813,1610.6930848194324
Profit,Discount,3.767773005747266e-05,-0.7617990691022979,1626.835403784945
Profit,Cost,0.43381418910576997,0.35555201219876165,416.7829820492318
